T P PENTANE(1) O2(2) N2
1.350000000000000000e+03 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
1.325000000000000000e+03 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
1.300000000000000000e+03 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
1.275000000000000000e+03 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
1.250000000000000000e+03 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
1.225000000000000000e+03 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
1.200000000000000000e+03 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
1.150000000000000000e+03 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
1.100000000000000000e+03 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
1.075000000000000000e+03 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
1.050000000000000000e+03 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
1.025000000000000000e+03 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
1.012500000000000000e+03 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
1.000000000000000000e+03 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
9.875000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
9.750000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
9.625000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
9.500000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
9.375000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
9.250000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
9.125000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
9.000000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
8.750000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
8.500000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
8.250000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
8.000000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
7.750000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
7.500000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
7.250000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
7.000000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
6.750000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
6.500000000000000000e+02 1.013250000000000000e+06 6.162600000000000022e-02 2.186400000000000010e-01 7.197340000000000959e-01
